PLAYER,TEAM,POS,AGE,GP,MPG,MIN%,USG%,TOr,FTA,FT%,2PA,2P%,3PA,3P%,TS%,PPG,RPG,TRB%,APG,AST%,SPG,BPG,VI
Quincy Acy,Nyk,PF,24,47,19.3,40,14.3,0.16,57,0.719,186,0.516,25,0.36,0.551,5.5,4.7,14.1,1,7.9,0.36,0.28,6.1
Jordan Adams,Mem,SG,20,15,6.9,13.5,17.9,0.173,10,0.5,19,0.421,10,0.4,0.494,2.2,0.8,6.6,0.5,10.1,0.47,0.27,5.6
Steven Adams,Okc,C,21,50,24.1,50.8,14.7,0.189,131,0.527,275,0.549,1,0,0.556,7.4,7,15.3,1,6.1,0.44,1.2,6.2
Jeff Adrien,Min,PF,28,17,12.5,25.7,14.3,0.129,38,0.579,44,0.432,0,0,0.494,3.5,4.5,20.8,0.9,10.5,0.24,0.53,7.7
Arron Afflalo,Den,SG,29,53,32.8,67.8,20.2,0.103,151,0.841,414,0.481,243,0.337,0.533,14.5,3.4,5.6,1.9,9.5,0.6,0.09,5.5
Alexis Ajinca,Nor,C,26,40,12.2,25.4,19.4,0.148,56,0.804,154,0.571,0,0,0.619,5.5,4.2,19.5,0.4,5.7,0.18,0.65,6.9
Furkan Aldemir,Phi,PF,23,20,10.5,21.6,7.7,0.218,4,0.75,27,0.481,0,0,0.504,1.5,4.1,21.3,0.5,6.9,0.45,0.35,5.5
Cole Aldrich,Nyk,C,26,37,15.4,31.8,18.3,0.164,22,0.727,179,0.48,0,0,0.498,5.1,4.9,18.4,1.1,11.6,0.57,0.81,7.8
LaMarcus Aldridge,Por,PF,29,48,35.8,73.6,30.1,0.078,249,0.871,897,0.463,59,0.424,0.526,23.4,10.3,15.3,1.8,9.6,0.79,1.13,8.5
Lavoy Allen,Ind,PF,25,43,20.4,42.1,15.3,0.1,40,0.675,251,0.502,0,0,0.519,6.5,6.4,17.5,1.3,10.7,0.3,0.77,7.4
Tony Allen,Mem,SG,33,45,25,51,16.5,0.145,90,0.678,287,0.491,21,0.286,0.519,8,3.9,8.9,1.5,9.2,1.91,0.53,5.8
Al-Farouq Aminu,Dal,SF,24,51,16.1,33.7,15.7,0.103,65,0.754,146,0.527,87,0.276,0.526,5.4,4,13.4,0.7,6.2,0.76,0.8,6.1
Louis Amundson,Cle,PF,32,12,6.4,13.2,11.2,0.26,5,0.6,12,0.333,0,0,0.387,0.9,1.7,14.9,0.4,8.9,0.08,0,5.3
Louis Amundson,Nyk,PF,32,14,22.2,45.3,15.1,0.128,21,0.381,79,0.468,0,0,0.465,5.9,5.6,14.8,1.7,12.4,0.43,1.29,6.9
Chris Andersen,Mia,C,36,37,19.8,41.3,11.4,0.114,77,0.636,116,0.629,5,0.6,0.659,5.5,4.9,15.2,0.7,5.8,0.49,0.95,5.4
Alan Anderson,Bro,SG,32,53,23.2,47.8,13.7,0.123,71,0.789,141,0.525,150,0.34,0.554,6.7,2.8,6.7,1.1,7.3,0.77,0.09,4.7
Kyle Anderson,San,SF,21,27,12.4,25.9,13,0.103,14,0.643,70,0.371,11,0.273,0.402,2.6,2.5,11.3,1,11.8,0.48,0.26,6
Ryan Anderson,Nor,PF,26,51,28.8,59.8,23.5,0.072,138,0.855,325,0.471,323,0.344,0.534,14.8,5.2,10.1,1,5.7,0.63,0.31,5.9
Giannis Antetokounmpo,Mil,SG,20,54,29.4,60.5,19.7,0.159,210,0.738,457,0.523,31,0.161,0.558,12,6.6,12.9,2.5,13.4,0.94,1,7.9
Carmelo Anthony,Nyk,SF,30,40,35.5,73.3,32.6,0.089,237,0.797,627,0.474,179,0.341,0.531,24.2,6.6,10.9,3.1,17.6,1,0.43,8.9
Joel Anthony,Det,C,32,31,5.8,11.9,9.4,0.159,11,0.636,27,0.556,0,0,0.581,1.2,1.5,13.9,0.1,1.7,0.16,0.61,3.9
Pero Antic,Atl,PF,32,42,16.2,33.7,19,0.135,79,0.684,89,0.472,120,0.292,0.498,5.8,2.9,10.3,0.8,7.6,0.21,0.31,5.9
Trevor Ariza,Hou,SF,29,54,35.7,73.7,17,0.115,97,0.866,247,0.449,380,0.332,0.511,12.7,5.4,8.5,2.4,10.3,1.93,0.17,6.1
Darrell Arthur,Den,PF,26,45,17.7,36.6,21,0.112,51,0.804,217,0.493,103,0.252,0.486,7.4,3.2,9.6,1,9.5,0.89,0.58,6.5
Omer Asik,Nor,C,28,50,25.7,53.2,13.8,0.158,154,0.578,261,0.498,1,0,0.529,7,9.8,21.5,0.9,5,0.3,0.8,6.2
D.J. Augustin,Det,PG,27,54,23.7,49,22.3,0.17,169,0.87,311,0.45,150,0.327,0.536,10.6,1.9,4.2,4.9,33.9,0.61,0.04,7.8
Jeff Ayres,San,PF,27,31,8.1,16.9,14.6,0.148,23,0.826,59,0.559,0,0,0.615,2.7,2.2,15.1,0.4,6.7,0.19,0.16,6.6
Luke Babbitt,Nor,SF,25,43,13.3,27.6,11.4,0.111,13,0.692,37,0.324,86,0.5,0.629,3.8,1.8,7.7,0.3,2.8,0.26,0.14,3.8
Leandro Barbosa,Gol,SG,32,41,13.1,27.1,22.9,0.095,48,0.75,169,0.538,66,0.364,0.566,7.1,1.3,5.5,1.1,13.1,0.54,0.12,6.6
Jose Barea,Dal,PG,30,56,17.2,36.1,21.5,0.107,69,0.826,262,0.45,126,0.341,0.504,7.5,1.9,5.9,3.4,29.5,0.46,0.02,8.5
Andrea Bargnani,Nyk,C,29,5,15,29.4,25.2,0.073,18,0.722,29,0.379,1,0,0.461,7,3.4,13.2,0.6,6.7,0,0.4,6.5
Harrison Barnes,Gol,SF,22,52,29,60.2,14.2,0.089,98,0.724,271,0.542,136,0.434,0.602,10.4,5.7,10.5,1.4,6.8,0.63,0.23,6
Matt Barnes,Lac,SF,34,53,29.2,61.8,14.4,0.12,74,0.797,180,0.583,227,0.366,0.589,9.8,3.8,7.4,1.4,6.9,0.91,0.55,5.1
Will Barton,Por,SG,24,30,9.8,20,18.8,0.138,15,0.667,82,0.415,18,0.222,0.422,3,1.1,6.2,0.9,14,0.47,0.13,5.9
Brandon Bass,Bos,PF,29,52,20.9,43.2,20.9,0.094,136,0.787,397,0.479,14,0.286,0.53,9.6,4.3,11.2,1.1,8.3,0.46,0.46,6.8
Nicolas Batum,Por,SF,26,47,33.5,68.9,14.7,0.162,68,0.838,203,0.483,203,0.271,0.479,8.9,5.5,8.7,4.6,20.1,1.11,0.64,7.3
Jerryd Bayless,Mil,PG,26,53,21.3,43.9,18.6,0.17,99,0.909,266,0.485,75,0.333,0.55,8,2.5,6.7,3.2,23.2,0.75,0.21,7.5
Aron Baynes,San,C,28,49,15.5,32.3,18.5,0.157,69,0.841,229,0.563,4,0.25,0.606,6.5,4.6,16.4,0.5,4.9,0.18,0.29,6.4
Kent Bazemore,Atl,SG,25,48,14.5,30,15.6,0.166,49,0.49,110,0.436,65,0.431,0.519,4.3,2.4,9.5,0.8,7.9,0.48,0.4,5.6
Bradley Beal,Was,SG,21,42,33.2,68.2,22.3,0.122,106,0.811,384,0.419,172,0.436,0.525,15.1,3.8,6.6,3,14.6,1.21,0.21,6.7
Marco Belinelli,San,SG,28,36,22.9,47.7,19,0.098,62,0.79,161,0.484,126,0.389,0.56,9.8,2.5,6.1,1.8,12.4,0.47,0.06,6.2
Anthony Bennett,Min,PF,21,53,15.6,32.4,17.5,0.093,62,0.629,258,0.426,16,0.313,0.455,5.2,3.8,14,0.8,8.3,0.43,0.3,6.4
Patrick Beverley,Hou,PG,26,42,30.6,63.2,16.7,0.119,51,0.725,165,0.412,249,0.361,0.508,10.5,4.4,8.1,3.3,17.1,1.07,0.43,7
Bismack Biyombo,Cha,C,22,38,17.4,35.5,12.6,0.164,99,0.505,109,0.569,0,0,0.57,4.6,6.2,20,0.2,1.4,0.21,1.37,4.1
Tarik Black,Hou,C,23,25,15.6,31.9,12.8,0.166,29,0.517,82,0.549,1,0,0.548,4.2,5.1,18.3,0.3,3.2,0.24,0.08,4.8
Tarik Black,Lal,C,23,15,18.3,36.4,13.6,0.178,35,0.514,54,0.574,0,0,0.576,5.3,5.4,16.2,0.9,7.8,0.27,0.47,6.5
DeJuan Blair,Was,PF,25,17,5.7,11.4,18.7,0.176,4,0.75,31,0.548,0,0,0.565,2.2,1.6,16.6,0.1,3.3,0.12,0,5
Steve Blake,Por,PG,34,54,20.6,42.3,12.7,0.225,30,0.733,81,0.432,150,0.327,0.489,4.4,1.9,4.8,3.7,25.7,0.54,0.09,6.1
Eric Bledsoe,Pho,PG,25,54,33.7,69.4,23.8,0.169,298,0.819,513,0.489,179,0.33,0.561,17.1,5.2,8.6,5.9,27.1,1.67,0.59,9.6
Bojan Bogdanovic,Bro,SF,25,52,22.8,46.9,16.6,0.107,76,0.855,184,0.511,165,0.309,0.531,7.8,2.7,6.8,0.8,5.5,0.42,0.12,4.5
Andrew Bogut,Gol,C,30,38,24,49.7,13.3,0.225,34,0.559,202,0.564,0,0,0.569,6.5,8.3,18.5,2.8,15.7,0.61,1.82,8.9
Matt Bonner,San,PF,34,48,15.1,31.4,13.6,0.041,29,0.828,90,0.444,107,0.346,0.512,4.5,1.9,6.8,0.8,7.9,0.19,0.23,5
